country,sport,competition,expected_gold,expected_silver,expected_bronze,expected_total,top_athlete,top_athlete_gold_prob
KOR,Short Track Speed Skating,Men's 1500m,0.0,1.0,0.0,1.0,Park Ji-won,0.0
KOR,Short Track Speed Skating,Women's 500m,1.0,0.0,0.0,1.0,Kim Gil-li,1.0
KOR,Short Track Speed Skating,Women's 1000m,1.0,0.0,0.0,1.0,Kim Gil-li,1.0
KOR,Curling,Women's Curling,0.0,0.0,1.0,1.0,Kim Eun-jung,0.0
LAT,Skeleton,Men's Skeleton,0.0,0.0,1.0,1.0,Martins Dukurs,0.0
NED,Short Track Speed Skating,Women's 1000m,0.0,1.0,0.0,1.0,Xandra Velzeboer,0.0
NED,Speed Skating,Men's 500m,0.0,1.0,0.0,1.0,Jenning De Boo,0.0
NED,Speed Skating,Men's 1500m,0.0,1.0,0.0,1.0,Kjeld Nuis,0.0
NED,Speed Skating,Women's 1000m,0.0,0.0,1.0,1.0,Jutta Leerdam,0.0
NED,Speed Skating,Men's 5000m,0.0,1.0,0.0,1.0,Beau Snellink,0.0
NED,Speed Skating,Women's Mass Start,0.0,1.0,0.0,1.0,Marijke Groenewoud,0.0
NED,Speed Skating,Men's Mass Start,0.0,1.0,0.0,1.0,Bart Hoolwerf,0.0
NED,Speed Skating,Men's 10000m,1.0,0.0,0.0,1.0,Beau Snellink,1.0
NOR,Alpine Skiing,Men's Slalom,1.0,0.0,0.0,1.0,Atle Lie McGrath,1.0
NOR,Alpine Skiing,Women's Giant Slalom,0.0,0.0,1.0,1.0,Kajsa Vickhoff Lie,0.0
NOR,Alpine Skiing,Men's Downhill,0.0,0.0,1.0,1.0,Atle Lie McGrath,0.0
NOR,Cross-Country Skiing,Women's Team Sprint,0.0,1.0,0.0,1.0,Julie Myhre,0.0
NOR,Cross-Country Skiing,Men's 4x10km Relay,0.0,1.0,0.0,1.0,Simen Hegstad Krueger,0.0
NOR,Cross-Country Skiing,Men's Skiathlon,1.0,0.0,0.0,1.0,Johannes Hoesflot Klaebo,1.0
NOR,Cross-Country Skiing,Men's 50km Mass Start,0.0,0.0,1.0,1.0,Johannes Hoesflot Klaebo,0.0
NOR,Cross-Country Skiing,Women's 4x5km Relay,0.0,1.0,0.0,1.0,Astrid Oeyre Slind,0.0
NOR,Cross-Country Skiing,Women's 50km Mass Start,1.0,0.0,0.0,1.0,Karoline Simpson-Larsen,1.0
NOR,Biathlon,Men's 20km Individual,1.0,0.0,0.0,1.0,Johannes Dale-Skjevdal,1.0
NOR,Biathlon,Men's 12.5km Pursuit,0.0,1.0,0.0,1.0,Johan-Olav Botn,0.0
NOR,Biathlon,Women's 7.5km Sprint,0.0,0.0,1.0,1.0,Maren Kirkeeide,0.0
NOR,Freestyle Skiing,Men's Halfpipe,1.0,0.0,0.0,1.0,Birk Ruud,1.0
NOR,Freestyle Skiing,Men's Slopestyle,0.0,1.0,0.0,1.0,Birk Ruud,0.0
NOR,Freestyle Skiing,Men's Big Air,0.0,0.0,1.0,1.0,Birk Ruud,0.0
NOR,Snowboard,Men's Slopestyle,0.0,1.0,0.0,1.0,Marcus Kleveland,0.0
NOR,Snowboard,Men's Big Air,0.0,1.0,0.0,1.0,Marcus Kleveland,0.0
NOR,Nordic Combined,Men's Individual Large Hill,0.0,1.0,0.0,1.0,Jens Luraas Oftebro,0.0
NOR,Curling,Women's Curling,1.0,0.0,0.0,1.0,Kristin Skaslien,1.0
NOR,Biathlon,Men's 4x7.5km Relay,0.0,0.0,1.0,1.0,Team Norway,0.0
NOR,Biathlon,Women's 4x6km Relay,0.0,1.0,0.0,1.0,Team Norway,0.0
NOR,Ski Jumping,Mixed Team,1.0,0.0,0.0,1.0,Team Norway,1.0
NOR,Speed Skating,Women's 3000m,0.0,1.0,0.0,1.0,Ragne Wiklund,0.0
NOR,Speed Skating,Women's 5000m,0.0,1.0,0.0,1.0,Ragne Wiklund,0.0
NZL,Freestyle Skiing,Men's Halfpipe,0.0,0.0,1.0,1.0,Nico Porteous,0.0
NZL,Snowboard,Women's Big Air,1.0,0.0,0.0,1.0,Zoi Sadowski-Synnott,1.0
RUS,Freestyle Skiing,Women's Halfpipe,0.0,1.0,0.0,1.0,Valeriya Demidova,0.0
RUS,Snowboard,Men's Parallel Giant Slalom,0.0,1.0,0.0,1.0,Dmitry Loginov,0.0
SCO,Curling,Men's Curling,0.0,0.0,1.0,1.0,Bruce Mouat,0.0
SLO,Ski Jumping,Men's Normal Hill Individual,1.0,0.0,0.0,1.0,Anze Lanisek,1.0
SLO,Ski Jumping,Men's Large Hill Individual,0.0,0.0,1.0,1.0,Anze Lanisek,0.0
SLO,Snowboard,Men's Parallel Giant Slalom,0.0,0.0,1.0,1.0,Tim Mastnak,0.0
SLO,Ski Jumping,Men's Team,0.0,1.0,0.0,1.0,Team Slovenia,0.0
SLO,Ski Jumping,Mixed Team,0.0,1.0,0.0,1.0,Team Slovenia,0.0
SUI,Alpine Skiing,Men's Slalom,0.0,0.0,1.0,1.0,Tanguy Nef,0.0
SUI,Alpine Skiing,Women's Slalom,1.0,0.0,0.0,1.0,Wendy Holdener,1.0
SUI,Alpine Skiing,Men's Giant Slalom,0.0,1.0,0.0,1.0,Thomas Tumler,0.0
SUI,Alpine Skiing,Men's Downhill,1.0,0.0,0.0,1.0,Marco Odermatt,1.0
SUI,Alpine Skiing,Women's Downhill,1.0,0.0,0.0,1.0,Camille Rast,1.0
SUI,Cross-Country Skiing,Women's 4x5km Relay,0.0,0.0,1.0,1.0,Nadine Faehndrich,0.0
SUI,Ski Jumping,Men's Large Hill Individual,0.0,1.0,0.0,1.0,Gregor Deschwanden,0.0
SUI,Freestyle Skiing,Men's Aerials,1.0,0.0,0.0,1.0,Noe Roth,1.0
SUI,Freestyle Skiing,Women's Ski Cross,0.0,0.0,1.0,1.0,Fanny Smith,0.0
SUI,Freestyle Skiing,Women's Big Air,0.0,1.0,0.0,1.0,Mathilde Gremaud,0.0
SUI,Snowboard,Women's Parallel Giant Slalom,0.0,0.0,1.0,1.0,Julie Zogg,0.0
SUI,Curling,Men's Curling,0.0,1.0,0.0,1.0,Yannick Schwaller,0.0
SUI,Curling,Women's Curling,0.0,1.0,0.0,1.0,Silvana Tirinzoni,0.0
SUI,Biathlon,Women's 4x6km Relay,1.0,0.0,0.0,1.0,Team Switzerland,1.0
SUI,Ski Jumping,Men's Team,0.0,0.0,1.0,1.0,Team Switzerland,0.0
SUI,Curling,Mixed Doubles Curling,0.0,1.0,0.0,1.0,Team Switzerland,0.0
SWE,Alpine Skiing,Women's Slalom,0.0,1.0,0.0,1.0,Larsson Anna Swenn,0.0
SWE,Cross-Country Skiing,Men's Team Sprint,0.0,0.0,1.0,1.0,Edvin Anger,0.0
SWE,Cross-Country Skiing,Men's Sprint,1.0,0.0,0.0,1.0,Edvin Anger,1.0
SWE,Cross-Country Skiing,Women's Team Sprint,0.0,0.0,1.0,1.0,Maja Dahlqvist,0.0
SWE,Cross-Country Skiing,Women's Skiathlon,0.0,0.0,1.0,1.0,Moa Ilar,0.0
SWE,Cross-Country Skiing,Women's 10km,0.0,0.0,1.0,1.0,Moa Ilar,0.0
SWE,Cross-Country Skiing,Women's 50km Mass Start,0.0,1.0,0.0,1.0,Moa Ilar,0.0
SWE,Biathlon,Men's 20km Individual,0.0,0.0,1.0,1.0,Sebastian Samuelsson,0.0
SWE,Biathlon,Men's 15km Mass Start,0.0,1.0,0.0,1.0,Sebastian Samuelsson,0.0
SWE,Biathlon,Women's 10km Pursuit,0.0,1.0,0.0,1.0,Hanna Oeberg,0.0
SWE,Biathlon,Women's 12.5km Mass Start,1.0,0.0,0.0,1.0,Hanna Oeberg,1.0
SWE,Freestyle Skiing,Men's Moguls,0.0,0.0,1.0,1.0,Walter Wallberg,0.0
SWE,Freestyle Skiing,Men's Dual Moguls,0.0,1.0,0.0,1.0,Walter Wallberg,0.0
SWE,Freestyle Skiing,Men's Big Air,0.0,1.0,0.0,1.0,Oliwer Magnusson,0.0
SWE,Biathlon,Women's 4x6km Relay,0.0,0.0,1.0,1.0,Team Sweden,0.0
UKR,Short Track Speed Skating,Men's 500m,1.0,0.0,0.0,1.0,Oleh Handei,1.0
UKR,Skeleton,Men's Skeleton,1.0,0.0,0.0,1.0,Vladyslav Heraskevych,1.0
USA,Alpine Skiing,Women's Slalom,0.0,0.0,1.0,1.0,A J Hurt,0.0
USA,Alpine Skiing,Women's Giant Slalom,0.0,1.0,0.0,1.0,Brien Nina O,0.0
USA,Alpine Skiing,Women's Downhill,0.0,0.0,1.0,1.0,Lauren Macuga,0.0
USA,Cross-Country Skiing,Women's Sprint,0.0,0.0,1.0,1.0,Julia Kern,0.0
USA,Cross-Country Skiing,Men's 4x10km Relay,0.0,0.0,1.0,1.0,Gus Schumacher,0.0
USA,Cross-Country Skiing,Men's 50km Mass Start,0.0,1.0,0.0,1.0,Ben Ogden,0.0
USA,Cross-Country Skiing,Women's 10km,1.0,0.0,0.0,1.0,Julia Kern,1.0
USA,Freestyle Skiing,Women's Dual Moguls,0.0,1.0,0.0,1.0,Jaelin Kauf,0.0
USA,Freestyle Skiing,Men's Aerials,0.0,1.0,0.0,1.0,Christopher Lillis,0.0
USA,Freestyle Skiing,Women's Aerials,0.0,0.0,1.0,1.0,Winter Vinecki,0.0
USA,Freestyle Skiing,Men's Big Air,1.0,0.0,0.0,1.0,Colby Stevenson,1.0
USA,Freestyle Skiing,Women's Slopestyle,0.0,1.0,0.0,1.0,Darian Stevens,0.0
USA,Freestyle Skiing,Women's Big Air,0.0,0.0,1.0,1.0,Darian Stevens,0.0
USA,Snowboard,Women's Halfpipe,1.0,0.0,0.0,1.0,Chloe Kim,1.0
USA,Snowboard,Men's Slopestyle,1.0,0.0,0.0,1.0,Chris Corning,1.0
USA,Snowboard,Women's Slopestyle,0.0,0.0,1.0,1.0,Julia Marino,0.0
USA,Snowboard,Women's Big Air,0.0,0.0,1.0,1.0,Julia Marino,0.0
USA,Short Track Speed Skating,Women's 1000m,0.0,0.0,1.0,1.0,Kristen Santos-Griswold,0.0
USA,Figure Skating,Men's Singles,0.0,1.0,0.0,1.0,Ilia Malinin,0.0
USA,Figure Skating,Women's Singles,0.0,0.0,1.0,1.0,Isabeau Levito,0.0
USA,Luge,Women's Singles Luge,0.0,0.0,1.0,1.0,Summer Britcher,0.0
USA,Bobsleigh,Four-Man Bobsled,0.0,1.0,0.0,1.0,Hunter Church,0.0
USA,Bobsleigh,Two-Woman Bobsled,0.0,0.0,1.0,1.0,Kaillie Humphries,0.0
USA,Bobsleigh,Women's Monobob,1.0,0.0,0.0,1.0,Elana Meyers Taylor,1.0
USA,Ice Hockey,Men's Ice Hockey,0.0,0.0,1.0,1.0,Team USA,0.0
USA,Biathlon,Men's 4x7.5km Relay,1.0,0.0,0.0,1.0,Team USA,1.0
USA,Speed Skating,Men's 500m,1.0,0.0,0.0,1.0,Jordan Stolz,1.0
USA,Speed Skating,Women's 1500m,1.0,0.0,0.0,1.0,Brittany Bowe,1.0
USA,Speed Skating,Men's 1500m,1.0,0.0,0.0,1.0,Jordan Stolz,1.0
USA,Speed Skating,Women's 1000m,1.0,0.0,0.0,1.0,Brittany Bowe,1.0
USA,Speed Skating,Men's 1000m,1.0,0.0,0.0,1.0,Jordan Stolz,1.0
USA,Speed Skating,Men's 5000m,0.0,0.0,1.0,1.0,Casey Dawson,0.0
USA,Speed Skating,Men's 10000m,0.0,0.0,1.0,1.0,Casey Dawson,0.0
