competition,sport,athlete_name,country,score,relative_score,strength,gold_prob,silver_prob,bronze_prob,medal_prob
Men's 1500m,Speed Skating,Bart Swings,BEL,85.0,0,0.0243,0.0,0.0,0.0,0.0
Men's 1500m,Speed Skating,Joep Wennemars,NED,83.0,0,0.0232,0.0,0.0,0.0,0.0
Men's 1500m,Speed Skating,Ryota Kojima,JPN,82.0,0,0.0226,0.0,0.0,0.0,0.0
Men's 1500m,Speed Skating,Didrik Eng Strand,NOR,69.0,0,0.016,0.0,0.0,0.0,0.0
Men's 1500m,Speed Skating,David La Rue,CAN,58.0,0,0.0113,0.0,0.0,0.0,0.0
Men's 1500m,Speed Skating,Moritz Klein,GER,40.0,0,0.0054,0.0,0.0,0.0,0.0
Men's 1500m,Speed Skating,Kristian Gamme Ulekleiv,NOR,31.0,0,0.0032,0.0,0.0,0.0,0.0
Men's 1500m,Speed Skating,Vladimir Semirunniy,POL,24.0,0,0.0019,0.0,0.0,0.0,0.0
Men's 1500m,Speed Skating,Hendrik Dombek,GER,24.0,0,0.0019,0.0,0.0,0.0,0.0
Men's 1500m,Speed Skating,Hanbin Liu,CHN,20.0,0,0.0013,0.0,0.0,0.0,0.0
Men's 1500m,Speed Skating,Motonaga Arito,JPN,14.0,0,0.0007,0.0,0.0,0.0,0.0
Men's 1500m,Speed Skating,Emery Lehman,USA,14.0,0,0.0007,0.0,0.0,0.0,0.0
Men's 1500m,Speed Skating,Finn Sonnekalb,GER,13.0,0,0.0006,0.0,0.0,0.0,0.0
Men's 1500m,Speed Skating,Riku Tsuchiya,JPN,13.0,0,0.0006,0.0,0.0,0.0,0.0
Men's 1500m,Speed Skating,Alessio Trentini,ITA,12.0,0,0.0005,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Even Northug,NOR,699.0,0,0.101,1.0,0.0,0.0,1.0
Men's 15km,Cross-Country Skiing,Westgaard Thomas Maloney,IRL,398.0,0,0.0327,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Jens Burman,SWE,350.0,0,0.0253,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Calle Halfvarsson,SWE,344.0,0,0.0244,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Truls Gisselman,SWE,333.0,0,0.0229,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Altimiras Ireneu Esteve,AND,320.0,0,0.0212,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Jules Lapierre,FRA,312.0,0,0.0201,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Davide Graz,ITA,307.0,0,0.0195,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Naoto Baba,JPN,307.0,0,0.0195,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Johannes Hoesflot Klaebo,NOR,2200.0,0,1.0,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Edvin Anger,SWE,1731.0,0,0.6191,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Erik Valnes,NOR,1530.0,0,0.4837,0.0,0.0,1.0,1.0
Men's 15km,Cross-Country Skiing,Federico Pellegrino,ITA,1510.0,0,0.4711,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Harald Oestberg Amundsen,NOR,1439.0,0,0.4278,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Simen Hegstad Krueger,NOR,1431.0,0,0.4231,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Hugo Lapalus,FRA,1388.0,0,0.398,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Andreas Fjorden Ree,NOR,1235.0,0,0.3151,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Martin Loewstroem Nyenget,NOR,1154.0,0,0.2751,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Ben Ogden,USA,1087.0,0,0.2441,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Mika Vermeulen,AUT,1082.0,0,0.2419,0.0,1.0,0.0,1.0
Men's 15km,Cross-Country Skiing,Friedrich Moch,GER,1004.0,0,0.2083,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Mathis Desloges,FRA,986.0,0,0.2009,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Gus Schumacher,USA,965.0,0,0.1924,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,William Poromaa,SWE,958.0,0,0.1896,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Iivo Niskanen,FIN,924.0,0,0.1764,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Paal Golberg,NOR,870.0,0,0.1564,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Iver Tildheim Andersen,NOR,782.0,0,0.1263,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Lucas Chanavat,FRA,731.0,0,0.1104,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Lauri Vuorinen,FIN,720.0,0,0.1071,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Andrew Musgrave,GBR,659.0,0,0.0897,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Jan Thomas Jenssen,NOR,627.0,0,0.0812,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Arsi Ruuskanen,FIN,576.0,0,0.0685,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Michal Novak,CZE,555.0,0,0.0636,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Jules Chappaz,FRA,522.0,0,0.0563,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Richard Jouve,FRA,496.0,0,0.0508,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Valerio Grond,SUI,492.0,0,0.05,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,JC Schoonmaker,USA,480.0,0,0.0476,0.0,0.0,0.0,0.0
Men's 15km,Cross-Country Skiing,Thomas Maloney Westgaard,IRL,476.0,0,0.0468,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Tommaso Giacomel,ITA,767.0,0,1.0,1.0,0.0,0.0,1.0
Men's 15km Mass Start,Biathlon,Eric Perrot,FRA,744.0,0,0.9409,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Sebastian Samuelsson,SWE,640.0,0,0.6963,0.0,1.0,0.0,1.0
Men's 15km Mass Start,Biathlon,Johan-Olav Botn,NOR,589.0,0,0.5897,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Johannes Dale-Skjevdal,NOR,501.0,0,0.4267,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Quentin Fillon Maillet,FRA,481.0,0,0.3933,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Martin Ponsiluoma,SWE,476.0,0,0.3851,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Emilien Jacquelin,FRA,445.0,0,0.3366,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Vetle Sjastad Christiansen,NOR,429.0,0,0.3128,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Sturla Holm Laegreid,NOR,404.0,0,0.2774,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Philipp Nawrath,GER,385.0,0,0.252,0.0,0.0,1.0,1.0
Men's 15km Mass Start,Biathlon,Martin Uldal,NOR,359.0,0,0.2191,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Campbell Wright,USA,339.0,0,0.1953,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Isak Frey,NOR,306.0,0,0.1592,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Lukas Hofer,ITA,295.0,0,0.1479,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Fabien Claude,FRA,284.0,0,0.1371,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Philipp Horn,GER,274.0,0,0.1276,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Tarjei Boe,NOR,260.0,0,0.1149,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Johannes Thingnes Boe,NOR,250.0,0,0.1062,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Jakov Fak,SLO,240.0,0,0.0979,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Justus Strelow,GER,230.0,0,0.0899,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Simon Eder,AUT,220.0,0,0.0823,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Florent Claude,BEL,210.0,0,0.075,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Benedikt Doll,GER,200.0,0,0.068,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Dmytro Pidruchnyi,UKR,190.0,0,0.0614,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Sivert Guttorm Bakken,NOR,180.0,0,0.0551,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Felix Leitner,AUT,170.0,0,0.0491,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Michal Krcmar,CZE,160.0,0,0.0435,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Said Karimulla Khalili,AIN,150.0,0,0.0382,0.0,0.0,0.0,0.0
Men's 15km Mass Start,Biathlon,Jesper Nelin,SWE,140.0,0,0.0333,0.0,0.0,0.0,0.0
Men's 20km Individual,Biathlon,Johannes Dale-Skjevdal,NOR,501.0,0,0.4267,1.0,0.0,0.0,1.0
Men's 20km Individual,Biathlon,Tommaso Giacomel,ITA,767.0,0,1.0,0.0,1.0,0.0,1.0
