country,sport,competition,expected_gold,expected_silver,expected_bronze,expected_total,top_athlete,top_athlete_gold_prob
SWE,Cross-Country Skiing,Men's 4x10km Relay,0.196,0.193,0.178,0.567,Team Sweden,0.19
USA,Freestyle Skiing,Men's Aerials,0.175,0.186,0.201,0.562,Christopher Lillis,0.097
FIN,Cross-Country Skiing,Women's Team Sprint,0.189,0.186,0.185,0.56,Team Finland,0.171
SUI,Alpine Skiing,Women's Downhill,0.193,0.188,0.178,0.559,Camille Rast,0.149
CHN,Freestyle Skiing,Women's Slopestyle,0.206,0.185,0.164,0.555,Eileen Gu,0.206
NOR,Alpine Skiing,Men's Giant Slalom,0.167,0.188,0.2,0.555,Atle Lie McGrath,0.064
CHN,Freestyle Skiing,Women's Big Air,0.204,0.186,0.164,0.554,Eileen Gu,0.204
BEL,Skeleton,Women's Skeleton,0.196,0.184,0.173,0.553,Kim Meylemans,0.196
CZE,Snowboard,Women's Parallel Giant Slalom,0.195,0.184,0.172,0.551,Ester Ledecka,0.195
LAT,Skeleton,Men's Skeleton,0.195,0.183,0.169,0.548,Martins Dukurs,0.195
USA,Cross-Country Skiing,Women's Team Sprint,0.191,0.183,0.174,0.548,Team USA,0.183
GER,Cross-Country Skiing,Women's Team Sprint,0.182,0.182,0.183,0.547,Team Germany,0.163
SLO,Ski Jumping,Men's Team,0.135,0.186,0.223,0.545,Team Slovenia,0.135
SUI,Alpine Skiing,Women's Super-G,0.189,0.179,0.173,0.542,Camille Rast,0.145
SWE,Curling,Men's Curling,0.177,0.179,0.182,0.538,Niklas Edin,0.177
CAN,Speed Skating,Women's 3000m,0.157,0.179,0.201,0.537,Isabelle Weidemann,0.06
AUT,Snowboard,Men's Snowboard Cross,0.162,0.178,0.192,0.532,Jakob Dusek,0.109
NOR,Freestyle Skiing,Men's Halfpipe,0.186,0.177,0.165,0.528,Birk Ruud,0.186
NED,Speed Skating,Men's 10000m,0.147,0.173,0.204,0.524,Beau Snellink,0.08
NOR,Cross-Country Skiing,Women's Sprint,0.17,0.174,0.18,0.523,Heidi Weng,0.043
NOR,Ski Jumping,Men's Normal Hill Individual,0.166,0.173,0.183,0.522,Johann Andre Forfang,0.052
GBR,Snowboard,Women's Snowboard Cross,0.183,0.174,0.164,0.521,Charlotte Bankes,0.183
NOR,Alpine Skiing,Men's Super-G,0.158,0.176,0.188,0.521,Atle Lie McGrath,0.062
AUT,Snowboard,Women's Big Air,0.182,0.173,0.165,0.52,Anna Gasser,0.182
ITA,Short Track Speed Skating,Men's 500m,0.18,0.173,0.167,0.52,Pietro Sighel,0.155
NOR,Ski Jumping,Men's Large Hill Individual,0.164,0.175,0.181,0.52,Johann Andre Forfang,0.051
ITA,Short Track Speed Skating,Men's 1000m,0.177,0.173,0.169,0.519,Pietro Sighel,0.153
ITA,Short Track Speed Skating,Men's 1500m,0.177,0.174,0.169,0.519,Pietro Sighel,0.152
SUI,Freestyle Skiing,Men's Ski Cross,0.159,0.173,0.186,0.518,Alex Fiva,0.079
AUT,Snowboard,Women's Slopestyle,0.181,0.174,0.163,0.517,Anna Gasser,0.181
BEL,Speed Skating,Men's Mass Start,0.172,0.171,0.172,0.515,Bart Swings,0.096
JPN,Speed Skating,Women's 500m,0.169,0.171,0.17,0.51,Yukino Yoshida,0.112
GER,Ski Jumping,Mixed Team,0.152,0.169,0.187,0.508,Team Germany,0.152
NOR,Cross-Country Skiing,Women's Team Sprint,0.165,0.169,0.174,0.508,Team Norway,0.143
JPN,Snowboard,Men's Slopestyle,0.178,0.169,0.158,0.506,Kira Kimura,0.178
JPN,Snowboard,Men's Big Air,0.179,0.17,0.156,0.505,Kira Kimura,0.179
NOR,Biathlon,Mixed Relay,0.175,0.17,0.16,0.505,Team Norway,0.175
SUI,Alpine Skiing,Women's Slalom,0.173,0.169,0.164,0.505,Camille Rast,0.121
ITA,Freestyle Skiing,Men's Ski Cross,0.18,0.167,0.153,0.501,Simone Deromedis,0.18
EST,Freestyle Skiing,Women's Slopestyle,0.175,0.168,0.157,0.5,Kelly Sildaru,0.175
NED,Speed Skating,Men's 1500m,0.147,0.165,0.188,0.5,Kjeld Nuis,0.075
EST,Freestyle Skiing,Women's Big Air,0.177,0.166,0.155,0.499,Kelly Sildaru,0.177
SUI,Alpine Skiing,Women's Giant Slalom,0.174,0.166,0.158,0.498,Camille Rast,0.135
CAN,Freestyle Skiing,Men's Dual Moguls,0.186,0.166,0.145,0.497,Mikael Kingsbury,0.186
GER,Ski Jumping,Men's Large Hill Individual,0.165,0.164,0.168,0.497,Pius Paschke,0.099
CAN,Freestyle Skiing,Men's Moguls,0.187,0.166,0.143,0.496,Mikael Kingsbury,0.187
GER,Ski Jumping,Men's Normal Hill Individual,0.163,0.167,0.166,0.496,Pius Paschke,0.097
AUS,Freestyle Skiing,Women's Aerials,0.176,0.164,0.154,0.494,Laura Peel,0.176
GER,Ski Jumping,Women's Normal Hill Individual,0.149,0.164,0.179,0.492,Selina Freitag,0.059
GER,Ski Jumping,Women's Large Hill Individual,0.149,0.163,0.18,0.492,Selina Freitag,0.06
SWE,Biathlon,Women's 4x6km Relay,0.169,0.166,0.157,0.492,Team Sweden,0.169
FIN,Cross-Country Skiing,Women's 4x5km Relay,0.156,0.164,0.17,0.49,Team Finland,0.147
FRA,Figure Skating,Men's Singles,0.16,0.163,0.165,0.489,Adam Siao Him Fa,0.102
NOR,Nordic Combined,Men's Individual Normal Hill,0.147,0.161,0.179,0.487,Jens Luraas Oftebro,0.062
NOR,Nordic Combined,Men's Individual Large Hill,0.147,0.162,0.177,0.486,Jens Luraas Oftebro,0.062
JPN,Freestyle Skiing,Men's Moguls,0.154,0.157,0.163,0.474,Ikuma Horishima,0.099
JPN,Freestyle Skiing,Men's Dual Moguls,0.155,0.158,0.16,0.473,Ikuma Horishima,0.099
CAN,Speed Skating,Women's Mass Start,0.143,0.156,0.165,0.464,Ivanie Blondin,0.096
JPN,Snowboard,Women's Slopestyle,0.159,0.154,0.151,0.464,Kokomo Murase,0.159
AUS,Snowboard,Women's Snowboard Cross,0.155,0.156,0.151,0.463,Belle Brockhoff,0.155
ITA,Alpine Skiing,Women's Downhill,0.145,0.153,0.165,0.463,Federica Brignone,0.052
NOR,Alpine Skiing,Men's Downhill,0.14,0.155,0.167,0.462,Atle Lie McGrath,0.062
GBR,Curling,Mixed Doubles Curling,0.164,0.153,0.142,0.459,Team Scotland,0.164
